nama_resto,menu,harga,rank_menu
EL PRIMO SAUSAGE & DAIRY,el primo cheese sausage,75000,3
EL PRIMO SAUSAGE & DAIRY,US Choice Beef  Rib Bone-in 300gr,150000,4
EL PRIMO SAUSAGE & DAIRY,Salmon steak with fruit salsa,95000,5
EL PRIMO SAUSAGE & DAIRY,el primo speciale pizza,71000,6
EL PRIMO SAUSAGE & DAIRY,banana milk,30000,7
EL PRIMO SAUSAGE & DAIRY,peach ice tea,24000,8
Giorno's Pizzeria,carnivoro pizza,87000,1
Giorno's Pizzeria,pizza di burrata,87000,2
Giorno's Pizzeria,pizza di mare,70000,3
Giorno's Pizzeria,tiramisu,40000,4
Giorno's Pizzeria,fettucine di burrata,70000,5
Giorno's Pizzeria,hazelnut latte,38000,6
Giorno's Pizzeria,caramel latte,38000,7
RM Duta Minang,nasi ayam pop,32000,1
RM Duta Minang,nasi sop buntut,48000,2
RM Duta Minang,nasi rendang,28500,3
RM Duta Minang,nasi paru,28500,4
RM Duta Minang,nasi dendeng,31000,5
RM Duta Minang,nasi ayam gulai,27500,6
RM. Duta Minang Gowongan,nasi ayam pop,32000,1
RM. Duta Minang Gowongan,nasi sop buntut,48000,2
RM. Duta Minang Gowongan,nasi rendang,28500,3
RM. Duta Minang Gowongan,nasi paru,28500,4
RM. Duta Minang Gowongan,nasi dendeng,31000,5
RM. Duta Minang Gowongan,nasi ayam gulai,27500,6
Golden Geisha,beef ramen baitan,50000,1
Golden Geisha,shogun chicken ramen tamtam,45000,2
Golden Geisha,hosogiri ramen tamtam,55000,3
Golden Geisha,japanese milk pudding ,20000,4
Golden Geisha,japanese silk pudding (soya),15000,5
Golden Geisha,gyoza,40000,6
Swasana by Temata Yogyakarta,australian tenderloin,255000,1
Swasana by Temata Yogyakarta,australian rib eye,180000,2
Swasana by Temata Yogyakarta,asian caesar salad,46000,3
Swasana by Temata Yogyakarta,thai beef salad,48000,4
Swasana by Temata Yogyakarta,hainan chicken rice,58000,5
Swasana by Temata Yogyakarta,matcha strawberry freeze,45000,6
Susu dan Roti Bakar Om Bob,susu murni coklat,13500,1
Susu dan Roti Bakar Om Bob,susu murni red velvet ,13500,2
Susu dan Roti Bakar Om Bob,susu murni mocca,13000,3
Susu dan Roti Bakar Om Bob,roti bakar meses keju,11500,4
Susu dan Roti Bakar Om Bob,es buah,12000,5
Susu dan Roti Bakar Om Bob,jagung bakar pedas manis,5500,6
Susu dan Roti Bakar Om Bob,roti bakar meses,7000,7
Susu dan Roti Bakar Om Bob,mie telur kornet keju,20000,8
Susu dan Roti Bakar Om Bob Nologaten,susu murni coklat,13500,1
Susu dan Roti Bakar Om Bob Nologaten,susu murni red velvet ,13500,2
Susu dan Roti Bakar Om Bob Nologaten,susu murni mocca,13000,3
Susu dan Roti Bakar Om Bob Nologaten,roti bakar meses keju,11500,4
Susu dan Roti Bakar Om Bob Nologaten,es buah,12000,5
Susu dan Roti Bakar Om Bob Nologaten,jagung bakar pedas manis,5500,6
Susu dan Roti Bakar Om Bob Nologaten,roti bakar meses,7000,7
Susu dan Roti Bakar Om Bob Nologaten,mie telur kornet keju,20000,8
Susu dan Roti Bakar Om Bob Maguwo,susu murni coklat,13500,1
Susu dan Roti Bakar Om Bob Maguwo,susu murni red velvet ,13500,2
